"","X","street_address","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other","statefp","countyfp","countyns","affgeoid","geoid","name","namelsad","stusps","state_name","lsad","aland","awater","state_abbr","jurisdiction_type","geometry"
"37",37,"1000 Avenue H",38.1074074074074,66278.4078947368,81,34911,23782,7974,534,2093,528,"13","285","01673298","0500000US13285","13285","Troup","Troup County","GA","Georgia","06",1072278217,82757751,"GA","state",c(-85.173745, 32.876978)
"38",38,"1000 Bear Creek Blvd",37.4598214285714,67021.7636363636,224,140094,61667,60820,4598,9907,3102,"13","151","01671894","0500000US13151","13151","Henry","Henry County","GA","Georgia","06",825449018,20273034,"GA","state",c(-84.307558, 33.389761)
"39",39,"1000 Madison Hwy",35.0752577319588,41861.3092783505,97,37618,17831,16259,226,2543,759,"13","185","00326720","0500000US13185","13185","Lowndes","Lowndes County","GA","Georgia","06",1287842038,34542105,"GA","state",c(-83.275618, 30.818591)
"40",40,"1000 Marietta Hwy",42.2512195121951,112291.142857143,123,82750,49315,20334,3028,8461,1612,"13","067","01686112","0500000US13067","13067","Cobb","Cobb County","GA","Georgia","06",880026860,12347127,"GA","state",c(-84.390945, 34.005048)
"41",41,"1000 Pine St",41.6835526315789,62094.9864864865,152,87740,56792,16209,3915,8863,1961,"13","093","00351608","0500000US13093","13093","Dooly","Dooly County","GA","Georgia","06",1016908646,12141885,"GA","state",c(-83.742076, 32.248373)
"42",42,"1000 Sommers Blvd",39.494375,64658.928125,320,202141,121368,44264,6971,21751,7787,"13","029","00350496","0500000US13029","13029","Bryan","Bryan County","GA","Georgia","06",1133280746,43754751,"GA","state",c(-81.332581, 31.925295)
"43",43,"1000 Whitlock Ave NW",38.5,61350.5,8,8320,4415,2868,164,860,13,"13","067","01686112","0500000US13067","13067","Cobb","Cobb County","GA","Georgia","06",880026860,12347127,"GA","state",c(-84.580953, 33.952146)
"44",44,"10004 Abercorn St",37.5719008264463,58120.9917355372,121,94340,48537,31741,2612,7336,4114,"13","051","01694477","0500000US13051","13051","Chatham","Chatham County","GA","Georgia","06",1121772804,509852786,"GA","state",c(-81.129414, 31.991752)
"45",45,"10004 Abercorn St",37.4615384615385,54021.3076923077,52,48400,22655,19006,1279,3620,1840,"13","051","01694477","0500000US13051","13051","Chatham","Chatham County","GA","Georgia","06",1121772804,509852786,"GA","state",c(-81.129585, 31.991845)
"46",46,"1001 2nd St W",40.3838012958963,58148.5749440716,463,193509,122059,37557,6372,22976,4545,"13","277","00344090","0500000US13277","13277","Tift","Tift County","GA","Georgia","06",675702087,20458524,"GA","state",c(-83.527309, 31.458232)
"47",47,"1001 5th St NE",41.6,42109.4047619048,84,27061,15310,8641,327,2347,436,"13","131","00351261","0500000US13131","13131","Grady","Grady County","GA","Georgia","06",1177051414,15026665,"GA","state",c(-84.200559, 30.886617)
"48",48,"1001 Elberta Rd",38.4678571428571,44664.1825396825,140,49043,24365,18725,486,3720,1747,"13","153","01671693","0500000US13153","13153","Houston","Houston County","GA","Georgia","06",973954137,9990192,"GA","state",c(-83.634319, 32.635407)
"49",49,"1001 Lafayette Rd",41.95,57046.6299093656,666,115989,102128,4883,1629,4756,2593,"13","295","00354216","0500000US13295","13295","Walker","Walker County","GA","Georgia","06",1156145202,1672676,"GA","state",c(-85.270442, 34.883783)
"50",50,"1001 N Hwy 27",40.6914285714286,56560,105,45718,42305,1602,180,646,985,"13","295","00354216","0500000US13295","13295","Walker","Walker County","GA","Georgia","06",1156145202,1672676,"GA","state",c(-85.270572, 34.883478)
